source_field,copy_action,format_action,timestamp_format,destination_field,Notes
@version,,,,,
action,,,,,
agentversion,copy,,,agent.version,
appliesto,,,,,
autorun,,,,,
basiclogin,,,,,
bitlocker_inventory,,,,,
client_name,copy,,,organization.id,
consumer,copy,,,consumer,
consumertext,,,,,
consumertextlength,,,,,
contenttype,,,,,
cylancescore,copy,,,event.risk_score,
description,copy,,,vulnerability.description,
dest_ip,copy,,,destination.ip,
destinationip,copy,,,destination.ip,
destinationport,copy,,,destination.port,
detectedby,,,,,
detectionsettings,,,,,
deviceid,copy,,,agent.id,
deviceids,copy,,,agent.id,
devicemessage,,,,,
devicename,copy,,,host.hostname,
devicenames,copy,,,host.hostname,
drivesvbs,,,,,
drivetype,,,,,
dst_ip,copy,,,destination.ip,
event_id,copy,,,event.id,
event_type,copy,,,event.type,
eventid,copy,,,event.id,
eventname,,,,,
filename,copy,,,file.name,
fileowner,copy,,,file.owner,
filepath,copy,,,file.path,
filetype,copy,,,file.type,
founddate,,,,,
host,,,,,
instigatingprocessimagefilesha256,copy,,,process.hash.sha256,
instigatingprocessname,copy,,,process.name,
instigatingprocessowner,copy,,,user.name,
interpreter,,,,,
interpreterversion,,,,,
ipaddress,copy,,,host.ip,
ismalware,,,,,
isrunning,,,,,
isuniquetocylance,,,,,
kernelversion,,,,,
legitimateversionofchromeandhasdetect;addedto,,,,,
local_ip,copy,,,host.ip,
log_source,copy,,,agent.type,
loggedonusers,copy,,,user.name,
loginsp,copy,,,user.domain,
macaddress,copy,,,host.mac,
md5,copy,,,hash.md5,
message,copy,,,message,
node_id,,,,,
node_name,,,,,
operation,,,,,
operationlength,,,,,
opticsversion,copy,,,agent.version,
os,copy,,,os.full,
path,copy,,,file.path,
payload,,,,,
payloadlength,,,,,
policyname,copy,,,rule.name,
port,copy,,,source.port,
processid,copy,,,process.pid,
processname,copy,,,process.name,
product,copy,,,event.category,
role,,,,,
scriptblocklength,,,,,
scriptblocktext,,,,,
sensor_name,,,,,
service_port,copy,,,source.port,
severity,copy,,,event.severity,
sha256,copy,,,hash.sha256,
sourceip,copy,,,source.ip,
src_ip,copy,,,source.ip,
status,,,,,
stream,,,,,
targetfileowner,copy,,,file.owner,
targetfilepath,copy,,,file.path,
targetfilesha256,copy,,,file.hash.sha256,
targetprocessimagefilesha256,copy,,,process.parent.hash.sha256,
targetprocessname,copy,,,process.parent.name,
targetprocessowner,copy,,,process.parent.owner,
task,,,,,
threatclass,,,,,
ex ,,,,,
threatsubclass,,,,,
ulogindev,,,,,
user,copy,,,user.full_name,
username,copy,,,user.name,
version,,,,,
violationtype,,,,,
zonename,,,,,
zonenames,,,,,
