source_field,copy_action,format_action,timestamp_format,destination_field,Notes
accountid,,,,,['text']
,,,,,
accountname,,,,,['text']
,,,,,
activityid,,,,event.hash,['text']
,,,,,
activitytype,,,,event.type,['text']
,,,,,
cat,,,,event.category,['text']
,,,,,
cef2_priority,,,,,['text']
,,,,,
cef2_product,,,,observer.product,['text']
,,,,,
cef2_timestamp,,,,,['text']
,,,,,
client_name,,,,organization.id,['text']
,,,,,
consumer,,,,,['text']
,,,,,
deviceaddress,,,,host.ip,['text']
,,,,,
devicehostfqdn,,,,host.domain,['text']
,,,,,
devicehostname,,,,host.name,['text']
,,,,,
duid,,,,host.id,['text']
,,,,,
eventdesc,,,,event.reason,['text']
,,,,,
eventid,,,,event.id,['text']
,,,,,
eventseverity,,,,event.severity,['text']
,,,,,
filehash,,,,file.hash.sha1,['text']
,,,,,
filehashmd5,,,,file.hash.md5,['text']
,,,,,
filehashsha256,,,,file.hash.sha256,['text']
,,,,,
filename,,,,file.name,['text']
,,,,,
filepath,,,,file.path,['text']
,,,,,
host,rename,,,observer.name,['text']
,,,,,
ip,,,,observer.ip,['text']
,,,,,
kv,,,,,['text']
,,,,,
locationid,,,,,['text']
,,,,,
locationipaddresses,,,,,['text']
,,,,,
locationipaddressesoperator,,,,,['text']
,,,,,
locationname,,,,network.name,['text']
,,,,,
locationnetworkinterfaces,,,,,['text']
,,,,,
locationoperator,,,,,['text']
,,,,,
locationserverconnectivity,,,,,['text']
,,,,,
log_format,,,,,['text']
,,,,,
log_source,,,,,['text']
,,,,,
log_version,,,,,['text']
,,,,,
message,,,,,['text']
,,,,,
notificationscope,,,,,['text']
,,,,,
originatorname,,,,,['text']
,,,,,
originatorversion,,,,,['text']
,,,,,
os,,,,host.os.name,['text']
,,,,,
port,,,,client.port,['long']
product,,,,observer.product,['text']
,,,,,
rt,,,,,['text']
,,,,,
s1_api,,,,,['text']
,,,,,
siteid,,,,,['text']
,,,,,
sitename,,,,,['text']
,,,,,
sourceagentid,,,,,['text']
,,,,,
sourceagentlastactivitytimestamp,,,,,['text']
,,,,,
sourceagentregistertimestamp,,,,,['text']
,,,,,
sourceagentuuid,,,,,['text']
,,,,,
sourcednsdomain,,,,,['text']
,,,,,
sourcefqdn,,,,,['text']
,,,,,
sourcegroupid,,,,,['text']
,,,,,
sourcegroupname,,,,,['text']
,,,,,
sourcehostname,,,,,['text']
,,,,,
sourceipaddresses,,,,,['text']
,,,,,
sourcemacaddresses,,,,,['text']
,,,,,
sourcemgmtprecievedaddress,,,,,['text']
,,,,,
sourcenetworkstate,,,,,['text']
,,,,,
sourceosrevision,,,,,['text']
,,,,,
sourceostype,,,,,['text']
,,,,,
sourcethreatcount,,,,,['text']
,,,,,
sourceuserid,,,,,['text']
,,,,,
sourceusername,,,,,['text']
,,,,,
suser,,,,,['text']
,,,,,
tags,,,,,['text']
,,,,,
threatclassification,,,,vulnerability.category,['text']
,,,,,
threatclassificationsource,,,,vulnerability.reference,['text']
,,,,,
threatclassifier,,,,vulnerability.classification,['text']
,,,,,
threatcommandlinearguments,,,,process.command_line,['text']
,,,,,
threatconfidencelevel,,,,,['text']
,,,,,
threatdetectingengine,,,,observer.name,['text']
,,,,,
threatdetectiontime,,,,,['text']
,,,,,
threatid,,,,,['text']
,,,,,
threatindicatorslist,,,,,['text']
,,,,,
threatmitigatedpreemptively,,,,,['text']
,,,,,
threatmitigationstatus,,,,,['text']
,,,,,
threatmitigationstatusid,,,,,['text']
,,,,,
threatmitigationstatuslabel,,,,,['text']
,,,,,
threatprocessuser,,,,user.name,['text']
,,,,,
threatstoryline,,,,,['text']
,,,,,
vendor,,,,,['text']
,,,,,
