source_field,copy_action,format_action,timestamp_format,destination_field,Notes
alert.action,copy,,,event.action,['text']
,,,,,
alert.category,copy,,,event.category,['text']
,,,,,
alert.gid,,,,,['long']
alert.metadata.affected_product,,,,,['text']
,,,,,
alert.metadata.attack_target,,,,,['text']
,,,,,
alert.metadata.created_at,,,,,['text']
,,,,,
alert.metadata.deployment,,,,,['text']
,,,,,
alert.metadata.former_category,,,,,['text']
,,,,,
alert.metadata.signature_severity,,,,,['text']
,,,,,
alert.metadata.tag,,,,,['text']
,,,,,
alert.metadata.updated_at,,,,,['text']
,,,,,
alert.rev,,,,,['long']
alert.severity,copy,,,event.severity,['long']
alert.signature,copy,,,event.reason,['text']
,,,,,
alert.signature_id,copy,,,event.code,['long']
app_proto,copy,,,network.protocol,['text']
,copy,,,,
app_proto_tc,copy,,,network.protocol,['text']
,copy,,,,
client_name,copy,,,organization.id,['keyword']
consumer,copy,,,data_stream.namespace,['text']
,copy,,,,
dest_hostname,copy,,,host.hostname,['text']
,copy,,,,
dest_ip,copy,,,destination.ip,['ip']
,,,,,
dest_port,copy,,,destination.port,['long']
dst_ip,copy,,,destination.ip,['ip']
,copy,,,,
event_type,copy,,,event.type,['keyword']
fileinfo.end,copy,,,event.end,['long']
fileinfo.filename,copy,,,file.name,['text']
,,,,,
fileinfo.gaps,,,,,['boolean']
fileinfo.magic,copy,,,file.mime_type,['text']
,,,,,
fileinfo.md5,copy,,,file.hash.md5,['text']
,,,,,
fileinfo.size,copy,,,file.size,['long']
fileinfo.start,copy,,,event.start,['long']
fileinfo.state,,,,,['text']
,,,,,
fileinfo.stored,,,,,['boolean']
fileinfo.tx_id,,,,,['long']
flow.age,,,,,['long']
flow.alerted,,,,,['boolean']
flow.bytes_toclient,copy,,,server.bytes,['long']
flow.bytes_toserver,copy,,,client.bytes,['long']
flow.end,copy,,,event.end,['date']
flow.pkts_toclient,copy,,,server.packets,['long']
flow.pkts_toserver,copy,,,client.packets,['long']
flow.reason,,,,,['text']
,,,,,
flow.start,copy,,,event.start,['date']
flow.state,,,,,['text']
,,,,,
flow_id,copy,,,event.id,['long']
geoip.city_name,copy,,,host.geo.city_name,['text']
,,,,,
geoip.continent_code,copy,,,host.geo.continent_code,['text']
,,,,,
geoip.country_code2,,,,,['text']
,,,,,
geoip.country_code3,,,,,['text']
,,,,,
geoip.country_name,copy,,,host.geo.country_name,['text']
,,,,,
geoip.dma_code,copy,,,host.geo.country_iso_code,['long']
geoip.ip,copy,,,host.geo.ip,['text']
,,,,,
geoip.latitude,,,,,['float']
geoip.location.lat,copy,,,host.geo.location,['float']
geoip.location.lon,copy,,,host.geo.location,['float']
geoip.longitude,,,,,['float']
geoip.postal_code,copy,,,host.geo.postal_code,['text']
,,,,,
geoip.region_code,copy,,,host.geo.region_iso_code,['text']
,,,,,
geoip.region_name,copy,,,host.geo.region_name,['text']
,,,,,
geoip.timezone,copy,,,host.geo.timezone,['text']
,,,,,
host,copy,,,host.name,['keyword']
http.age,,,,,['text']
,,,,,
http.allow,,,,,['text']
,,,,,
http.connection,,,,,['text']
,,,,,
http.content_encoding,,,,,['text']
,,,,,
http.content_language,,,,,['text']
,,,,,
http.content_length,,,,,['text']
,,,,,
http.content_location,,,,,['text']
,,,,,
http.content_md5,,,,,['text']
,,,,,
http.content_range.end,,,,,['long']
http.content_range.raw,,,,,['text']
,,,,,
http.content_range.size,,,,,['long']
http.content_range.start,,,,,['long']
http.content_range_string,,,,,['text']
,,,,,
http.content_type,,,,,['text']
,,,,,
http.date,,,,,['text']
,,,,,
http.expires,,,,,['text']
,,,,,
http.http_content_type,,,,,['text']
,,,,,
http.http_port,,,,,['long']
http.last_modified,,,,,['text']
,,,,,
http.length,,,,,['long']
http.location,,,,,['text']
,,,,,
http.redirect,,,,,['text']
,,,,,
http.retry_after,,,,,['text']
,,,,,
http.server,,,,,['text']
,,,,,
http.status,copy,,,http.response.status_code,['long']
http.transfer_encoding,,,,,['text']
,,,,,
http.upgrade,,,,,['text']
,,,,,
http.url,,,,,['text']
,,,,,
http.vary,,,,,['text']
,,,,,
http.warning,,,,,['text']
,,,,,
icmp_code,,,,,['long']
icmp_type,,,,,['long']
in_iface,copy,,,observer.egress.interface.name,['text']
,,,,,
local_ip,copy,,,host.ip,['ip']
,,,,,
log_source,copy,,,agent.type,['keyword']
message,copy,,,log.original,['text']
,,,,,
metadata.flowbits,,,,,['text']
,,,,,
node_id,,,,,['keyword']
node_name,,,,,['keyword']
packet,,,,,['text']
,,,,,
packet_info.linktype,,,,,['long']
path,,,,,['text']
,,,,,
payload,,,,,['text']
,,,,,
payload_printable,,,,,['text']
,,,,,
port,,,,,['keyword']
proto,,,,,['text']
,,,,,
sensor_name,copy,,,observer.name,['keyword']
service_port,,,,,['keyword']
src_hostname,copy,,,host.hostname,['text']
,,,,,
src_ip,copy,,,source.ip,['ip']
,,,,,
src_port,copy,,,source.port,['long']
stats.app_layer.expectations,,,,,['long']
stats.app_layer.flow.dcerpc_tcp,,,,,['long']
stats.app_layer.flow.dcerpc_udp,,,,,['long']
stats.app_layer.flow.dhcp,,,,,['long']
stats.app_layer.flow.dnp3,,,,,['long']
stats.app_layer.flow.dns_tcp,,,,,['long']
stats.app_layer.flow.dns_udp,,,,,['long']
stats.app_layer.flow.failed_tcp,,,,,['long']
stats.app_layer.flow.failed_udp,,,,,['long']
stats.app_layer.flow.ftp,,,,,['long']
stats.app_layer.flow.ftp-data,,,,,['long']
stats.app_layer.flow.http,,,,,['long']
stats.app_layer.flow.ikev2,,,,,['long']
stats.app_layer.flow.imap,,,,,['long']
stats.app_layer.flow.krb5_tcp,,,,,['long']
stats.app_layer.flow.krb5_udp,,,,,['long']
stats.app_layer.flow.nfs_tcp,,,,,['long']
stats.app_layer.flow.nfs_udp,,,,,['long']
stats.app_layer.flow.ntp,,,,,['long']
stats.app_layer.flow.sip,,,,,['long']
stats.app_layer.flow.smb,,,,,['long']
stats.app_layer.flow.smtp,,,,,['long']
stats.app_layer.flow.snmp,,,,,['long']
stats.app_layer.flow.ssh,,,,,['long']
stats.app_layer.flow.tftp,,,,,['long']
stats.app_layer.flow.tls,,,,,['long']
stats.app_layer.tx.dcerpc_tcp,,,,,['long']
stats.app_layer.tx.dcerpc_udp,,,,,['long']
stats.app_layer.tx.dhcp,,,,,['long']
stats.app_layer.tx.dnp3,,,,,['long']
stats.app_layer.tx.dns_tcp,,,,,['long']
stats.app_layer.tx.dns_udp,,,,,['long']
stats.app_layer.tx.ftp,,,,,['long']
stats.app_layer.tx.ftp-data,,,,,['long']
stats.app_layer.tx.http,,,,,['long']
stats.app_layer.tx.ikev2,,,,,['long']
stats.app_layer.tx.imap,,,,,['long']
stats.app_layer.tx.krb5_tcp,,,,,['long']
stats.app_layer.tx.krb5_udp,,,,,['long']
stats.app_layer.tx.nfs_tcp,,,,,['long']
stats.app_layer.tx.nfs_udp,,,,,['long']
stats.app_layer.tx.ntp,,,,,['long']
stats.app_layer.tx.sip,,,,,['long']
stats.app_layer.tx.smb,,,,,['long']
stats.app_layer.tx.smtp,,,,,['long']
stats.app_layer.tx.snmp,,,,,['long']
stats.app_layer.tx.ssh,,,,,['long']
stats.app_layer.tx.tftp,,,,,['long']
stats.app_layer.tx.tls,,,,,['long']
stats.capture.errors,,,,,['long']
stats.capture.kernel_drops,,,,,['long']
stats.capture.kernel_packets,,,,,['long']
stats.decoder.avg_pkt_size,,,,,['long']
stats.decoder.bytes,,,,,['long']
stats.decoder.dce.pkt_too_small,,,,,['long']
stats.decoder.erspan,,,,,['long']
stats.decoder.ethernet,,,,,['long']
stats.decoder.event.erspan.header_too_small,,,,,['long']
stats.decoder.event.erspan.too_many_vlan_layers,,,,,['long']
stats.decoder.event.erspan.unsupported_version,,,,,['long']
stats.decoder.event.ethernet.pkt_too_small,,,,,['long']
stats.decoder.event.gre.pkt_too_small,,,,,['long']
stats.decoder.event.gre.version0_flags,,,,,['long']
stats.decoder.event.gre.version0_hdr_too_big,,,,,['long']
stats.decoder.event.gre.version0_malformed_sre_hdr,,,,,['long']
stats.decoder.event.gre.version0_recur,,,,,['long']
stats.decoder.event.gre.version1_chksum,,,,,['long']
stats.decoder.event.gre.version1_flags,,,,,['long']
stats.decoder.event.gre.version1_hdr_too_big,,,,,['long']
stats.decoder.event.gre.version1_malformed_sre_hdr,,,,,['long']
stats.decoder.event.gre.version1_no_key,,,,,['long']
stats.decoder.event.gre.version1_recur,,,,,['long']
stats.decoder.event.gre.version1_route,,,,,['long']
stats.decoder.event.gre.version1_ssr,,,,,['long']
stats.decoder.event.gre.version1_wrong_protocol,,,,,['long']
stats.decoder.event.gre.wrong_version,,,,,['long']
stats.decoder.event.icmpv4.ipv4_trunc_pkt,,,,,['long']
stats.decoder.event.icmpv4.ipv4_unknown_ver,,,,,['long']
stats.decoder.event.icmpv4.pkt_too_small,,,,,['long']
stats.decoder.event.icmpv4.unknown_code,,,,,['long']
stats.decoder.event.icmpv4.unknown_type,,,,,['long']
stats.decoder.event.icmpv6.experimentation_type,,,,,['long']
stats.decoder.event.icmpv6.ipv6_trunc_pkt,,,,,['long']
stats.decoder.event.icmpv6.ipv6_unknown_version,,,,,['long']
stats.decoder.event.icmpv6.mld_message_with_invalid_hl,,,,,['long']
stats.decoder.event.icmpv6.pkt_too_small,,,,,['long']
stats.decoder.event.icmpv6.unassigned_type,,,,,['long']
stats.decoder.event.icmpv6.unknown_code,,,,,['long']
stats.decoder.event.icmpv6.unknown_type,,,,,['long']
stats.decoder.event.ieee8021ah.header_too_small,,,,,['long']
stats.decoder.event.ipraw.invalid_ip_version,,,,,['long']
stats.decoder.event.ipv4.frag_ignored,,,,,['long']
stats.decoder.event.ipv4.frag_overlap,,,,,['long']
stats.decoder.event.ipv4.frag_pkt_too_large,,,,,['long']
stats.decoder.event.ipv4.hlen_too_small,,,,,['long']
stats.decoder.event.ipv4.icmpv6,,,,,['long']
stats.decoder.event.ipv4.iplen_smaller_than_hlen,,,,,['long']
stats.decoder.event.ipv4.opt_duplicate,,,,,['long']
stats.decoder.event.ipv4.opt_eol_required,,,,,['long']
stats.decoder.event.ipv4.opt_invalid,,,,,['long']
stats.decoder.event.ipv4.opt_invalid_len,,,,,['long']
stats.decoder.event.ipv4.opt_malformed,,,,,['long']
stats.decoder.event.ipv4.opt_pad_required,,,,,['long']
stats.decoder.event.ipv4.opt_unknown,,,,,['long']
stats.decoder.event.ipv4.pkt_too_small,,,,,['long']
stats.decoder.event.ipv4.trunc_pkt,,,,,['long']
stats.decoder.event.ipv4.wrong_ip_version,,,,,['long']
stats.decoder.event.ipv6.data_after_none_header,,,,,['long']
stats.decoder.event.ipv6.dstopts_only_padding,,,,,['long']
stats.decoder.event.ipv6.dstopts_unknown_opt,,,,,['long']
stats.decoder.event.ipv6.exthdr_ah_res_not_null,,,,,['long']
stats.decoder.event.ipv6.exthdr_dupl_ah,,,,,['long']
stats.decoder.event.ipv6.exthdr_dupl_dh,,,,,['long']
stats.decoder.event.ipv6.exthdr_dupl_eh,,,,,['long']
stats.decoder.event.ipv6.exthdr_dupl_fh,,,,,['long']
stats.decoder.event.ipv6.exthdr_dupl_hh,,,,,['long']
stats.decoder.event.ipv6.exthdr_dupl_rh,,,,,['long']
stats.decoder.event.ipv6.exthdr_invalid_optlen,,,,,['long']
stats.decoder.event.ipv6.exthdr_useless_fh,,,,,['long']
stats.decoder.event.ipv6.fh_non_zero_reserved_field,,,,,['long']
stats.decoder.event.ipv6.frag_ignored,,,,,['long']
stats.decoder.event.ipv6.frag_overlap,,,,,['long']
stats.decoder.event.ipv6.frag_pkt_too_large,,,,,['long']
stats.decoder.event.ipv6.hopopts_only_padding,,,,,['long']
stats.decoder.event.ipv6.hopopts_unknown_opt,,,,,['long']
stats.decoder.event.ipv6.icmpv4,,,,,['long']
stats.decoder.event.ipv6.ipv4_in_ipv6_too_small,,,,,['long']
stats.decoder.event.ipv6.ipv4_in_ipv6_wrong_version,,,,,['long']
stats.decoder.event.ipv6.ipv6_in_ipv6_too_small,,,,,['long']
stats.decoder.event.ipv6.ipv6_in_ipv6_wrong_version,,,,,['long']
stats.decoder.event.ipv6.pkt_too_small,,,,,['long']
stats.decoder.event.ipv6.rh_type_0,,,,,['long']
stats.decoder.event.ipv6.trunc_exthdr,,,,,['long']
stats.decoder.event.ipv6.trunc_pkt,,,,,['long']
stats.decoder.event.ipv6.unknown_next_header,,,,,['long']
stats.decoder.event.ipv6.wrong_ip_version,,,,,['long']
stats.decoder.event.ipv6.zero_len_padn,,,,,['long']
stats.decoder.event.ltnull.pkt_too_small,,,,,['long']
stats.decoder.event.ltnull.unsupported_type,,,,,['long']
stats.decoder.event.mpls.bad_label_implicit_null,,,,,['long']
stats.decoder.event.mpls.bad_label_reserved,,,,,['long']
stats.decoder.event.mpls.bad_label_router_alert,,,,,['long']
stats.decoder.event.mpls.header_too_small,,,,,['long']
stats.decoder.event.mpls.pkt_too_small,,,,,['long']
stats.decoder.event.mpls.unknown_payload_type,,,,,['long']
stats.decoder.event.ppp.ip4_pkt_too_small,,,,,['long']
stats.decoder.event.ppp.ip6_pkt_too_small,,,,,['long']
stats.decoder.event.ppp.pkt_too_small,,,,,['long']
stats.decoder.event.ppp.unsup_proto,,,,,['long']
stats.decoder.event.ppp.vju_pkt_too_small,,,,,['long']
stats.decoder.event.ppp.wrong_type,,,,,['long']
stats.decoder.event.pppoe.malformed_tags,,,,,['long']
stats.decoder.event.pppoe.pkt_too_small,,,,,['long']
stats.decoder.event.pppoe.wrong_code,,,,,['long']
stats.decoder.event.sctp.pkt_too_small,,,,,['long']
stats.decoder.event.sll.pkt_too_small,,,,,['long']
stats.decoder.event.tcp.hlen_too_small,,,,,['long']
stats.decoder.event.tcp.invalid_optlen,,,,,['long']
stats.decoder.event.tcp.opt_duplicate,,,,,['long']
stats.decoder.event.tcp.opt_invalid_len,,,,,['long']
stats.decoder.event.tcp.pkt_too_small,,,,,['long']
stats.decoder.event.udp.hlen_invalid,,,,,['long']
stats.decoder.event.udp.hlen_too_small,,,,,['long']
stats.decoder.event.udp.pkt_too_small,,,,,['long']
stats.decoder.event.vlan.header_too_small,,,,,['long']
stats.decoder.event.vlan.too_many_layers,,,,,['long']
stats.decoder.event.vlan.unknown_type,,,,,['long']
stats.decoder.gre,,,,,['long']
stats.decoder.icmpv4,,,,,['long']
stats.decoder.icmpv6,,,,,['long']
stats.decoder.ieee8021ah,,,,,['long']
stats.decoder.invalid,,,,,['long']
stats.decoder.ipv4,,,,,['long']
stats.decoder.ipv4_in_ipv6,,,,,['long']
stats.decoder.ipv6,,,,,['long']
stats.decoder.ipv6_in_ipv6,,,,,['long']
stats.decoder.max_pkt_size,,,,,['long']
stats.decoder.mpls,,,,,['long']
stats.decoder.null,,,,,['long']
stats.decoder.pkts,,,,,['long']
stats.decoder.ppp,,,,,['long']
stats.decoder.pppoe,,,,,['long']
stats.decoder.raw,,,,,['long']
stats.decoder.sctp,,,,,['long']
stats.decoder.sll,,,,,['long']
stats.decoder.tcp,,,,,['long']
